order,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2003,2005,2007,2009,2011,2013,2018
0,videotex,videodiscs,gratifications,cablecast,cablecast,nonmajors,nonmajors,conviviality,wasow,wasow,wasow,danielewski,meyerhold,rotoscoping,backstories,backstories,backstories,surveilled
1,pictographs,gombrich,videodiscs,videodiscs,videodiscs,videodiscs,audo,multiscreen,problematics,samplecell,samplecell,jmsl,orridge,picbasic,upending,upending,upending,endedness
2,homeric,videotex,gombrich,gombrich,gombrich,caricatured,videodiscs,caricatured,senft,largescale,senft,virtools,zyman,pilobolus,situationists,situationists,situationists,nitb
3,narrowband,arnheim,arnheim,arnheim,arnheim,flowcharting,conviviality,ronning,softy,senft,bifs,jsyn,etoy,ooda,tinkerers,chion,chion,stamets
4,videotapes,pictographs,videotex,videotex,videotex,nynex,caricatured,minitel,webbased,sonification,sonification,novelistic,virtools,orridge,picbasic,tinkerers,tinkerers,reshoot
5,teletext,videodisc,vdt,videodisc,flowcharting,videodisc,nynex,koestler,tangentially,gazers,choreographing,sonification,kuleshov,zyman,geotagging,geotagging,geotagging,mocap
6,discriminating,homeric,mcluhan,videocassettes,videodisc,nontechnical,videodisc,nynex,obfuscate,choreographing,filmstrips,actionscripting,deconstructionist,affordance,orridge,benkler,benkler,retargeting
7,anthropological,mcluhan,cataclysmic,subtopic,nontechnical,untried,nontechnical,videodisc,certainties,filmstrips,psychoacoustics,choreographing,familiarizes,appadurai,hulu,orridge,orridge,metrotech
8,subsystems,policymaking,policymaking,mcluhan,postproduction,postproduction,untried,nontechnical,videocassettes,psychoacoustics,cremaster,psychoacoustics,enshrouded,interventionists,zyman,zyman,zyman,bachelard
9,fieldwork,narrowband,narrowband,narrowband,videocassettes,videocassettes,proliferated,untried,hypercard,bettelheim,blueprinting,reengineer,rikers,etoy,affordance,affordance,affordance,transmittable
10,exert,teleconferencing,teleconferencing,teleconferencing,hypercard,hypercard,videocassettes,postproduction,bowe,pyrrhic,virilio,hacktivism,actionscripting,virtools,appadurai,bourdin,bourdin,glossolalia
